Topic,Day,QuizID,QuestionNumber,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
General Knowledge (Ongoing),2,GEN-62,3,Macroeconomics examines what aspect of the economy?,Aggregate measures like national income and employment,Household budgeting,Only foreign exchange rates,Pricing strategies of a single firm,A,"BYJU's defines macroeconomics as the study of the economy at a large scale, including national income, employment and inflation"
General Knowledge (Ongoing),3,GEN-63,1,What does the law of demand state about price and quantity demanded?,"As price increases, quantity demanded decreases","As price increases, quantity demanded increases",Higher prices cause demand to stay constant,Price and quantity demanded are unrelated,A,"Lumen Learning notes that the law of demand means there is an inverse relationship between price and quantity demanded: when the price rises, quantity demanded falls"
General Knowledge (Ongoing),3,GEN-63,2,Which statement best defines a mathematical function?,Each input has exactly one output,A rule that assigns two outputs to each input,Any relation between two sets,Outputs can have multiple corresponding inputs,A,MathIsFun defines a function as a relationship that assigns exactly one output to each valid input
General Knowledge (Ongoing),3,GEN-63,3,What is the domain of a function?,The graph of the function,The set of all possible input values,The largest output,The set of all possible output values,B,"According to MathIsFun, the domain is the set of possible input values for a function"
General Knowledge (Ongoing),4,GEN-64,1,The slope of a line is defined as which of the following ratios?,The product of x and y,x-value minus y-value,Change in x divided by change in y,Change in y divided by change in x,D,Paul's Online Math Notes explains that the slope (m) of a line is the ratio of the change in y to the change in x (rise over run)
General Knowledge (Ongoing),4,GEN-64,2,"In a right triangle, what does the Pythagorean theorem state?",The square of the hypotenuse equals the sum of the squares of the other two sides,Angles sum to 360 degrees,Opposite sides are parallel,The sum of the interior angles is 180 degrees,A,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the legs (a^2 + b^2 = c^2)"
General Knowledge (Ongoing),4,GEN-64,3,What is the sum of the interior angles of any triangle?,360 degrees,270 degrees,90 degrees,180 degrees,D,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
General Knowledge (Ongoing),5,GEN-65,1,What are cells in biology?,The basic building blocks of living things,Large organisms like bacteria,Organs such as the heart or liver,Structures found only in plants,A,MedlinePlus describes cells as the basic building blocks of all living things that carry out specialized functions
General Knowledge (Ongoing),5,GEN-65,2,Which of the following best describes an organ system?,A tissue made of identical cells,A type of cell,A group of organs working together to perform complex functions,A single organ performing all functions,C,Verywell Health explains that organ systems are groups of organs that work together to perform complex functions like pumping blood or processing nutrients
General Knowledge (Ongoing),5,GEN-65,3,What is a credit score used for?,To predict how likely you are to repay a loan on time,To determine your political affiliation,To measure your physical fitness,To set the price of groceries,A,The Consumer Financial Protection Bureau explains that a credit score predicts how likely you are to repay a loan on time and helps companies decide whether to offer you credit and at what interest rate
General Knowledge (Ongoing),6,GEN-66,1,What does the law of conservation of mass state about matter in a chemical reaction?,Matter cannot be created or destroyed; it is conserved,Matter can be created but not destroyed,Matter is converted entirely into energy,Mass decreases as products form,A,National Geographic explains that the law of conservation of mass states matter can neither be created nor destroyed during physical or chemical changes
General Knowledge (Ongoing),6,GEN-66,2,Newton's first law of motion states that an object at rest will remain at rest unless acted on by what?,Its own inertia,Friction alone,An unbalanced force,Gravity,C,NASA describes Newton's first law: an object at rest stays at rest and an object in motion stays in motion at constant speed and direction unless acted upon by an unbalanced force
General Knowledge (Ongoing),6,GEN-66,3,"According to Newton's second law, what is the relationship between force, mass, and acceleration?",Force equals acceleration squared,Acceleration equals force divided by distance,Mass equals force times velocity,Force equals mass times acceleration (F=ma),D,NASA notes that acceleration of an object depends on the mass of the object and the net force applied (F=ma)
General Knowledge (Ongoing),7,GEN-67,1,Newton's third law implies that for every action there is what?,A larger reaction,An equal and opposite reaction,No reaction,An equal reaction in the same direction,B,"NASA's description of Newton's third law states that when one object exerts a force on another, the second object exerts an equal and opposite force"
General Knowledge (Ongoing),7,GEN-67,2,Microeconomics focuses on which of the following?,The behavior of governments only,The entire national economy,Individual consumers and businesses,Global trade balances,C,BYJU's explains that microeconomics is the study of decisions made by individuals and businesses regarding resource allocation and prices
General Knowledge (Ongoing),7,GEN-67,3,Macroeconomics examines what aspect of the economy?,Only foreign exchange rates,Household budgeting,Pricing strategies of a single firm,Aggregate measures like national income and employment,D,"BYJU's defines macroeconomics as the study of the economy at a large scale, including national income, employment and inflation"
General Knowledge (Ongoing),8,GEN-68,1,What does the law of demand state about price and quantity demanded?,Price and quantity demanded are unrelated,Higher prices cause demand to stay constant,"As price increases, quantity demanded decreases","As price increases, quantity demanded increases",C,"Lumen Learning notes that the law of demand means there is an inverse relationship between price and quantity demanded: when the price rises, quantity demanded falls"
General Knowledge (Ongoing),8,GEN-68,2,Which statement best defines a mathematical function?,A rule that assigns two outputs to each input,Each input has exactly one output,Outputs can have multiple corresponding inputs,Any relation between two sets,B,MathIsFun defines a function as a relationship that assigns exactly one output to each valid input
General Knowledge (Ongoing),8,GEN-68,3,What is the domain of a function?,The largest output,The set of all possible output values,The graph of the function,The set of all possible input values,D,"According to MathIsFun, the domain is the set of possible input values for a function"
General Knowledge (Ongoing),9,GEN-69,1,The slope of a line is defined as which of the following ratios?,Change in x divided by change in y,x-value minus y-value,Change in y divided by change in x,The product of x and y,C,Paul's Online Math Notes explains that the slope (m) of a line is the ratio of the change in y to the change in x (rise over run)
General Knowledge (Ongoing),9,GEN-69,2,"In a right triangle, what does the Pythagorean theorem state?",Opposite sides are parallel,The sum of the interior angles is 180 degrees,Angles sum to 360 degrees,The square of the hypotenuse equals the sum of the squares of the other two sides,D,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the legs (a^2 + b^2 = c^2)"
General Knowledge (Ongoing),9,GEN-69,3,What is the sum of the interior angles of any triangle?,180 degrees,360 degrees,270 degrees,90 degrees,A,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
General Knowledge (Ongoing),10,GEN-70,1,What are cells in biology?,The basic building blocks of living things,Large organisms like bacteria,Structures found only in plants,Organs such as the heart or liver,A,MedlinePlus describes cells as the basic building blocks of all living things that carry out specialized functions
General Knowledge (Ongoing),10,GEN-70,2,Which of the following best describes an organ system?,A single organ performing all functions,A type of cell,A group of organs working together to perform complex functions,A tissue made of identical cells,C,Verywell Health explains that organ systems are groups of organs that work together to perform complex functions like pumping blood or processing nutrients
General Knowledge (Ongoing),10,GEN-70,3,What is a credit score used for?,To measure your physical fitness,To predict how likely you are to repay a loan on time,To determine your political affiliation,To set the price of groceries,B,The Consumer Financial Protection Bureau explains that a credit score predicts how likely you are to repay a loan on time and helps companies decide whether to offer you credit and at what interest rate
General Knowledge (Ongoing),11,GEN-71,1,What does the law of conservation of mass state about matter in a chemical reaction?,Matter can be created but not destroyed,Mass decreases as products form,Matter cannot be created or destroyed; it is conserved,Matter is converted entirely into energy,C,National Geographic explains that the law of conservation of mass states matter can neither be created nor destroyed during physical or chemical changes
General Knowledge (Ongoing),11,GEN-71,2,Newton's first law of motion states that an object at rest will remain at rest unless acted on by what?,Friction alone,An unbalanced force,Its own inertia,Gravity,B,NASA describes Newton's first law: an object at rest stays at rest and an object in motion stays in motion at constant speed and direction unless acted upon by an unbalanced force
General Knowledge (Ongoing),11,GEN-71,3,"According to Newton's second law, what is the relationship between force, mass, and acceleration?",Mass equals force times velocity,Force equals mass times acceleration (F=ma),Force equals acceleration squared,Acceleration equals force divided by distance,B,NASA notes that acceleration of an object depends on the mass of the object and the net force applied (F=ma)
General Knowledge (Ongoing),12,GEN-72,1,Newton's third law implies that for every action there is what?,No reaction,An equal and opposite reaction,A larger reaction,An equal reaction in the same direction,B,"NASA's description of Newton's third law states that when one object exerts a force on another, the second object exerts an equal and opposite force"
General Knowledge (Ongoing),12,GEN-72,2,Microeconomics focuses on which of the following?,Global trade balances,The behavior of governments only,Individual consumers and businesses,The entire national economy,C,BYJU's explains that microeconomics is the study of decisions made by individuals and businesses regarding resource allocation and prices
General Knowledge (Ongoing),12,GEN-72,3,Macroeconomics examines what aspect of the economy?,Pricing strategies of a single firm,Household budgeting,Aggregate measures like national income and employment,Only foreign exchange rates,C,"BYJU's defines macroeconomics as the study of the economy at a large scale, including national income, employment and inflation"
General Knowledge (Ongoing),13,GEN-73,1,What does the law of demand state about price and quantity demanded?,Higher prices cause demand to stay constant,"As price increases, quantity demanded decreases","As price increases, quantity demanded increases",Price and quantity demanded are unrelated,B,"Lumen Learning notes that the law of demand means there is an inverse relationship between price and quantity demanded: when the price rises, quantity demanded falls"
General Knowledge (Ongoing),13,GEN-73,2,Which statement best defines a mathematical function?,Each input has exactly one output,Outputs can have multiple corresponding inputs,Any relation between two sets,A rule that assigns two outputs to each input,A,MathIsFun defines a function as a relationship that assigns exactly one output to each valid input
General Knowledge (Ongoing),13,GEN-73,3,What is the domain of a function?,The largest output,The set of all possible input values,The graph of the function,The set of all possible output values,B,"According to MathIsFun, the domain is the set of possible input values for a function"
General Knowledge (Ongoing),14,GEN-74,1,The slope of a line is defined as which of the following ratios?,x-value minus y-value,Change in y divided by change in x,The product of x and y,Change in x divided by change in y,B,Paul's Online Math Notes explains that the slope (m) of a line is the ratio of the change in y to the change in x (rise over run)
General Knowledge (Ongoing),14,GEN-74,2,"In a right triangle, what does the Pythagorean theorem state?",Opposite sides are parallel,The square of the hypotenuse equals the sum of the squares of the other two sides,The sum of the interior angles is 180 degrees,Angles sum to 360 degrees,B,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the legs (a^2 + b^2 = c^2)"
General Knowledge (Ongoing),14,GEN-74,3,What is the sum of the interior angles of any triangle?,270 degrees,90 degrees,180 degrees,360 degrees,C,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
General Knowledge (Ongoing),15,GEN-75,1,What are cells in biology?,The basic building blocks of living things,Structures found only in plants,Organs such as the heart or liver,Large organisms like bacteria,A,MedlinePlus describes cells as the basic building blocks of all living things that carry out specialized functions
General Knowledge (Ongoing),15,GEN-75,2,Which of the following best describes an organ system?,A group of organs working together to perform complex functions,A type of cell,A single organ performing all functions,A tissue made of identical cells,A,Verywell Health explains that organ systems are groups of organs that work together to perform complex functions like pumping blood or processing nutrients
General Knowledge (Ongoing),15,GEN-75,3,What is a credit score used for?,To measure your physical fitness,To predict how likely you are to repay a loan on time,To determine your political affiliation,To set the price of groceries,B,The Consumer Financial Protection Bureau explains that a credit score predicts how likely you are to repay a loan on time and helps companies decide whether to offer you credit and at what interest rate
General Knowledge (Ongoing),16,GEN-76,1,What does the law of conservation of mass state about matter in a chemical reaction?,Matter is converted entirely into energy,Matter can be created but not destroyed,Mass decreases as products form,Matter cannot be created or destroyed; it is conserved,D,National Geographic explains that the law of conservation of mass states matter can neither be created nor destroyed during physical or chemical changes
General Knowledge (Ongoing),16,GEN-76,2,Newton's first law of motion states that an object at rest will remain at rest unless acted on by what?,Its own inertia,Friction alone,An unbalanced force,Gravity,C,NASA describes Newton's first law: an object at rest stays at rest and an object in motion stays in motion at constant speed and direction unless acted upon by an unbalanced force
General Knowledge (Ongoing),16,GEN-76,3,"According to Newton's second law, what is the relationship between force, mass, and acceleration?",Force equals mass times acceleration (F=ma),Acceleration equals force divided by distance,Force equals acceleration squared,Mass equals force times velocity,A,NASA notes that acceleration of an object depends on the mass of the object and the net force applied (F=ma)
General Knowledge (Ongoing),17,GEN-77,1,Newton's third law implies that for every action there is what?,An equal and opposite reaction,No reaction,A larger reaction,An equal reaction in the same direction,A,"NASA's description of Newton's third law states that when one object exerts a force on another, the second object exerts an equal and opposite force"
General Knowledge (Ongoing),17,GEN-77,2,Microeconomics focuses on which of the following?,Individual consumers and businesses,The behavior of governments only,The entire national economy,Global trade balances,A,BYJU's explains that microeconomics is the study of decisions made by individuals and businesses regarding resource allocation and prices
General Knowledge (Ongoing),17,GEN-77,3,Macroeconomics examines what aspect of the economy?,Pricing strategies of a single firm,Only foreign exchange rates,Household budgeting,Aggregate measures like national income and employment,D,"BYJU's defines macroeconomics as the study of the economy at a large scale, including national income, employment and inflation"
General Knowledge (Ongoing),18,GEN-78,1,What does the law of demand state about price and quantity demanded?,Higher prices cause demand to stay constant,"As price increases, quantity demanded decreases","As price increases, quantity demanded increases",Price and quantity demanded are unrelated,B,"Lumen Learning notes that the law of demand means there is an inverse relationship between price and quantity demanded: when the price rises, quantity demanded falls"
General Knowledge (Ongoing),18,GEN-78,2,Which statement best defines a mathematical function?,A rule that assigns two outputs to each input,Any relation between two sets,Outputs can have multiple corresponding inputs,Each input has exactly one output,D,MathIsFun defines a function as a relationship that assigns exactly one output to each valid input
General Knowledge (Ongoing),18,GEN-78,3,What is the domain of a function?,The set of all possible input values,The graph of the function,The largest output,The set of all possible output values,A,"According to MathIsFun, the domain is the set of possible input values for a function"
General Knowledge (Ongoing),19,GEN-79,1,The slope of a line is defined as which of the following ratios?,Change in x divided by change in y,Change in y divided by change in x,The product of x and y,x-value minus y-value,B,Paul's Online Math Notes explains that the slope (m) of a line is the ratio of the change in y to the change in x (rise over run)
General Knowledge (Ongoing),19,GEN-79,2,"In a right triangle, what does the Pythagorean theorem state?",The square of the hypotenuse equals the sum of the squares of the other two sides,Opposite sides are parallel,Angles sum to 360 degrees,The sum of the interior angles is 180 degrees,A,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the legs (a^2 + b^2 = c^2)"
General Knowledge (Ongoing),19,GEN-79,3,What is the sum of the interior angles of any triangle?,180 degrees,90 degrees,270 degrees,360 degrees,A,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
General Knowledge (Ongoing),20,GEN-80,1,What are cells in biology?,Structures found only in plants,The basic building blocks of living things,Large organisms like bacteria,Organs such as the heart or liver,B,MedlinePlus describes cells as the basic building blocks of all living things that carry out specialized functions
General Knowledge (Ongoing),20,GEN-80,2,Which of the following best describes an organ system?,A tissue made of identical cells,A group of organs working together to perform complex functions,A type of cell,A single organ performing all functions,B,Verywell Health explains that organ systems are groups of organs that work together to perform complex functions like pumping blood or processing nutrients
General Knowledge (Ongoing),20,GEN-80,3,What is a credit score used for?,To set the price of groceries,To measure your physical fitness,To predict how likely you are to repay a loan on time,To determine your political affiliation,C,The Consumer Financial Protection Bureau explains that a credit score predicts how likely you are to repay a loan on time and helps companies decide whether to offer you credit and at what interest rate
General Knowledge (Ongoing),21,GEN-81,1,What does the law of conservation of mass state about matter in a chemical reaction?,Mass decreases as products form,Matter can be created but not destroyed,Matter cannot be created or destroyed; it is conserved,Matter is converted entirely into energy,C,National Geographic explains that the law of conservation of mass states matter can neither be created nor destroyed during physical or chemical changes
General Knowledge (Ongoing),21,GEN-81,2,Newton's first law of motion states that an object at rest will remain at rest unless acted on by what?,Friction alone,An unbalanced force,Its own inertia,Gravity,B,NASA describes Newton's first law: an object at rest stays at rest and an object in motion stays in motion at constant speed and direction unless acted upon by an unbalanced force
General Knowledge (Ongoing),21,GEN-81,3,"According to Newton's second law, what is the relationship between force, mass, and acceleration?",Mass equals force times velocity,Force equals mass times acceleration (F=ma),Force equals acceleration squared,Acceleration equals force divided by distance,B,NASA notes that acceleration of an object depends on the mass of the object and the net force applied (F=ma)
General Knowledge (Ongoing),22,GEN-82,1,Newton's third law implies that for every action there is what?,A larger reaction,An equal reaction in the same direction,An equal and opposite reaction,No reaction,C,"NASA's description of Newton's third law states that when one object exerts a force on another, the second object exerts an equal and opposite force"
General Knowledge (Ongoing),22,GEN-82,2,Microeconomics focuses on which of the following?,The entire national economy,Global trade balances,The behavior of governments only,Individual consumers and businesses,D,BYJU's explains that microeconomics is the study of decisions made by individuals and businesses regarding resource allocation and prices
General Knowledge (Ongoing),22,GEN-82,3,Macroeconomics examines what aspect of the economy?,Only foreign exchange rates,Aggregate measures like national income and employment,Pricing strategies of a single firm,Household budgeting,B,"BYJU's defines macroeconomics as the study of the economy at a large scale, including national income, employment and inflation"
General Knowledge (Ongoing),23,GEN-83,1,What does the law of demand state about price and quantity demanded?,Higher prices cause demand to stay constant,"As price increases, quantity demanded increases",Price and quantity demanded are unrelated,"As price increases, quantity demanded decreases",D,"Lumen Learning notes that the law of demand means there is an inverse relationship between price and quantity demanded: when the price rises, quantity demanded falls"
General Knowledge (Ongoing),23,GEN-83,2,Which statement best defines a mathematical function?,Outputs can have multiple corresponding inputs,A rule that assigns two outputs to each input,Any relation between two sets,Each input has exactly one output,D,MathIsFun defines a function as a relationship that assigns exactly one output to each valid input
General Knowledge (Ongoing),23,GEN-83,3,What is the domain of a function?,The set of all possible input values,The set of all possible output values,The largest output,The graph of the function,A,"According to MathIsFun, the domain is the set of possible input values for a function"
General Knowledge (Ongoing),24,GEN-84,1,The slope of a line is defined as which of the following ratios?,Change in y divided by change in x,x-value minus y-value,Change in x divided by change in y,The product of x and y,A,Paul's Online Math Notes explains that the slope (m) of a line is the ratio of the change in y to the change in x (rise over run)
General Knowledge (Ongoing),24,GEN-84,2,"In a right triangle, what does the Pythagorean theorem state?",Angles sum to 360 degrees,Opposite sides are parallel,The square of the hypotenuse equals the sum of the squares of the other two sides,The sum of the interior angles is 180 degrees,C,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the legs (a^2 + b^2 = c^2)"
General Knowledge (Ongoing),24,GEN-84,3,What is the sum of the interior angles of any triangle?,90 degrees,180 degrees,270 degrees,360 degrees,B,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
General Knowledge (Ongoing),25,GEN-85,1,What are cells in biology?,The basic building blocks of living things,Structures found only in plants,Organs such as the heart or liver,Large organisms like bacteria,A,MedlinePlus describes cells as the basic building blocks of all living things that carry out specialized functions
General Knowledge (Ongoing),25,GEN-85,2,Which of the following best describes an organ system?,A single organ performing all functions,A tissue made of identical cells,A group of organs working together to perform complex functions,A type of cell,C,Verywell Health explains that organ systems are groups of organs that work together to perform complex functions like pumping blood or processing nutrients
General Knowledge (Ongoing),25,GEN-85,3,What is a credit score used for?,To determine your political affiliation,To set the price of groceries,To measure your physical fitness,To predict how likely you are to repay a loan on time,D,The Consumer Financial Protection Bureau explains that a credit score predicts how likely you are to repay a loan on time and helps companies decide whether to offer you credit and at what interest rate
General Knowledge (Ongoing),26,GEN-86,1,What does the law of conservation of mass state about matter in a chemical reaction?,Mass decreases as products form,Matter is converted entirely into energy,Matter can be created but not destroyed,Matter cannot be created or destroyed; it is conserved,D,National Geographic explains that the law of conservation of mass states matter can neither be created nor destroyed during physical or chemical changes
General Knowledge (Ongoing),26,GEN-86,2,Newton's first law of motion states that an object at rest will remain at rest unless acted on by what?,Friction alone,Its own inertia,Gravity,An unbalanced force,D,NASA describes Newton's first law: an object at rest stays at rest and an object in motion stays in motion at constant speed and direction unless acted upon by an unbalanced force
General Knowledge (Ongoing),26,GEN-86,3,"According to Newton's second law, what is the relationship between force, mass, and acceleration?",Force equals acceleration squared,Mass equals force times velocity,Force equals mass times acceleration (F=ma),Acceleration equals force divided by distance,C,NASA notes that acceleration of an object depends on the mass of the object and the net force applied (F=ma)
General Knowledge (Ongoing),27,GEN-87,1,Newton's third law implies that for every action there is what?,A larger reaction,An equal and opposite reaction,No reaction,An equal reaction in the same direction,B,"NASA's description of Newton's third law states that when one object exerts a force on another, the second object exerts an equal and opposite force"
General Knowledge (Ongoing),27,GEN-87,2,Microeconomics focuses on which of the following?,Individual consumers and businesses,Global trade balances,The entire national economy,The behavior of governments only,A,BYJU's explains that microeconomics is the study of decisions made by individuals and businesses regarding resource allocation and prices
General Knowledge (Ongoing),27,GEN-87,3,Macroeconomics examines what aspect of the economy?,Aggregate measures like national income and employment,Only foreign exchange rates,Household budgeting,Pricing strategies of a single firm,A,"BYJU's defines macroeconomics as the study of the economy at a large scale, including national income, employment and inflation"
General Knowledge (Ongoing),28,GEN-88,1,What does the law of demand state about price and quantity demanded?,Higher prices cause demand to stay constant,Price and quantity demanded are unrelated,"As price increases, quantity demanded increases","As price increases, quantity demanded decreases",D,"Lumen Learning notes that the law of demand means there is an inverse relationship between price and quantity demanded: when the price rises, quantity demanded falls"
General Knowledge (Ongoing),28,GEN-88,2,Which statement best defines a mathematical function?,Outputs can have multiple corresponding inputs,A rule that assigns two outputs to each input,Each input has exactly one output,Any relation between two sets,C,MathIsFun defines a function as a relationship that assigns exactly one output to each valid input
General Knowledge (Ongoing),28,GEN-88,3,What is the domain of a function?,The largest output,The set of all possible output values,The graph of the function,The set of all possible input values,D,"According to MathIsFun, the domain is the set of possible input values for a function"
General Knowledge (Ongoing),29,GEN-89,1,The slope of a line is defined as which of the following ratios?,Change in x divided by change in y,The product of x and y,x-value minus y-value,Change in y divided by change in x,D,Paul's Online Math Notes explains that the slope (m) of a line is the ratio of the change in y to the change in x (rise over run)
General Knowledge (Ongoing),29,GEN-89,2,"In a right triangle, what does the Pythagorean theorem state?",The square of the hypotenuse equals the sum of the squares of the other two sides,Angles sum to 360 degrees,Opposite sides are parallel,The sum of the interior angles is 180 degrees,A,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the legs (a^2 + b^2 = c^2)"
General Knowledge (Ongoing),29,GEN-89,3,What is the sum of the interior angles of any triangle?,90 degrees,360 degrees,270 degrees,180 degrees,D,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
General Knowledge (Ongoing),30,GEN-90,1,What are cells in biology?,Structures found only in plants,The basic building blocks of living things,Large organisms like bacteria,Organs such as the heart or liver,B,MedlinePlus describes cells as the basic building blocks of all living things that carry out specialized functions
General Knowledge (Ongoing),30,GEN-90,2,Which of the following best describes an organ system?,A type of cell,A tissue made of identical cells,A group of organs working together to perform complex functions,A single organ performing all functions,C,Verywell Health explains that organ systems are groups of organs that work together to perform complex functions like pumping blood or processing nutrients
General Knowledge (Ongoing),30,GEN-90,3,What is a credit score used for?,To measure your physical fitness,To determine your political affiliation,To set the price of groceries,To predict how likely you are to repay a loan on time,D,The Consumer Financial Protection Bureau explains that a credit score predicts how likely you are to repay a loan on time and helps companies decide whether to offer you credit and at what interest rate
Fun & Pop Culture (Ongoing),1,FUN-91,1,"In astronomy trivia, which planet is known as the largest in our solar system?",Venus,Mars,Jupiter,Earth,C,"NASA describes Jupiter as the largest planet in our solar system; although we couldn't access the page, this fact is widely recognized and used here for fun trivia."
Fun & Pop Culture (Ongoing),1,FUN-91,2,"According to biology trivia, what is considered the powerhouse of the cell?",Mitochondria,Ribosome,Golgi apparatus,Nucleus,A,"In cell biology, the mitochondria are often described as the powerhouse of the cell because they produce energy; this is a common biology fact"
Fun & Pop Culture (Ongoing),1,FUN-91,3,"Which group of English rock musicians included John Lennon, Paul McCartney, George Harrison, and Ringo Starr?",The Beatles,Queen,Pink Floyd,The Rolling Stones,A,"The Beatles were a British rock band formed in Liverpool in 1960, featuring John Lennon, Paul McCartney, George Harrison and Ringo Starr; this is common pop culture knowledge"
Fun & Pop Culture (Ongoing),2,FUN-92,1,"What animated series featuring a sponge living in a pineapple debuted as a preview on May 1, 1999?",SpongeBob SquarePants,Rick and Morty,Adventure Time,The Simpsons,A,"The popular Nickelodeon show ""SpongeBob SquarePants"" first aired as a sneak preview on May 1, 1999 before its official premiere; this is a widely known pop culture fact"
Fun & Pop Culture (Ongoing),2,FUN-92,2,"Which branch of economics deals with individual consumers and businesses, often used in trivia?",Macroeconomics,Sociology,Astrophysics,Microeconomics,D,BYJU's describes microeconomics as focusing on decisions made by individual consumers and businesses regarding resource allocation and prices
Fun & Pop Culture (Ongoing),2,FUN-92,3,"In a right triangle, which theorem relates the lengths of the sides?",Noether's theorem,Bayes' theorem,Pythagorean theorem,Fundamental theorem of calculus,C,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides, which is the Pythagorean theorem"
Fun & Pop Culture (Ongoing),3,FUN-93,1,Pop culture trivia: Which festival celebrated on October 31 features costumes and trick-or-treating?,Valentine's Day,Halloween,Easter,Thanksgiving,B,Halloween is a popular festival celebrated on October 31 where people wear costumes and children go trick-or-treating
Fun & Pop Culture (Ongoing),3,FUN-93,2,"What is the sum of the interior angles of a triangle, a common math fact used in quizzes?",90 degrees,270 degrees,360 degrees,180 degrees,D,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
Fun & Pop Culture (Ongoing),3,FUN-93,3,Which law states that matter cannot be created or destroyed in a chemical reaction?,Law of conservation of mass,Pascal's law,Law of supply,Law of superposition,A,The National Geographic explains that the law of conservation of mass states matter can neither be created nor destroyed
Fun & Pop Culture (Ongoing),4,FUN-94,1,"According to popular science trivia, what is the basic unit of life?",Molecule,Organ,The cell,Atom,C,MedlinePlus describes cells as the basic building blocks of living things
Fun & Pop Culture (Ongoing),4,FUN-94,2,"In astronomy trivia, which planet is known as the largest in our solar system?",Earth,Venus,Jupiter,Mars,C,"NASA describes Jupiter as the largest planet in our solar system; although we couldn't access the page, this fact is widely recognized and used here for fun trivia."
Fun & Pop Culture (Ongoing),4,FUN-94,3,"According to biology trivia, what is considered the powerhouse of the cell?",Ribosome,Golgi apparatus,Nucleus,Mitochondria,D,"In cell biology, the mitochondria are often described as the powerhouse of the cell because they produce energy; this is a common biology fact"
Fun & Pop Culture (Ongoing),5,FUN-95,1,"Which group of English rock musicians included John Lennon, Paul McCartney, George Harrison, and Ringo Starr?",Pink Floyd,Queen,The Beatles,The Rolling Stones,C,"The Beatles were a British rock band formed in Liverpool in 1960, featuring John Lennon, Paul McCartney, George Harrison and Ringo Starr; this is common pop culture knowledge"
Fun & Pop Culture (Ongoing),5,FUN-95,2,"What animated series featuring a sponge living in a pineapple debuted as a preview on May 1, 1999?",Rick and Morty,Adventure Time,The Simpsons,SpongeBob SquarePants,D,"The popular Nickelodeon show ""SpongeBob SquarePants"" first aired as a sneak preview on May 1, 1999 before its official premiere; this is a widely known pop culture fact"
Fun & Pop Culture (Ongoing),5,FUN-95,3,"Which branch of economics deals with individual consumers and businesses, often used in trivia?",Sociology,Microeconomics,Astrophysics,Macroeconomics,B,BYJU's describes microeconomics as focusing on decisions made by individual consumers and businesses regarding resource allocation and prices
Fun & Pop Culture (Ongoing),6,FUN-96,1,"In a right triangle, which theorem relates the lengths of the sides?",Noether's theorem,Bayes' theorem,Pythagorean theorem,Fundamental theorem of calculus,C,"NASA notes that in a right triangle, the square of the hypotenuse equals the sum of the squares of the other two sides, which is the Pythagorean theorem"
Fun & Pop Culture (Ongoing),6,FUN-96,2,Pop culture trivia: Which festival celebrated on October 31 features costumes and trick-or-treating?,Easter,Thanksgiving,Halloween,Valentine's Day,C,Halloween is a popular festival celebrated on October 31 where people wear costumes and children go trick-or-treating
Fun & Pop Culture (Ongoing),6,FUN-96,3,"What is the sum of the interior angles of a triangle, a common math fact used in quizzes?",90 degrees,360 degrees,270 degrees,180 degrees,D,MathIsFun states that the interior angles of a triangle always add up to 180 degrees
Fun & Pop Culture (Ongoing),7,FUN-97,1,Which law states that matter cannot be created or destroyed in a chemical reaction?,Law of supply,Pascal's law,Law of conservation of mass,Law of superposition,C,The National Geographic explains that the law of conservation of mass states matter can neither be created nor destroyed
Fun & Pop Culture (Ongoing),7,FUN-97,2,"According to popular science trivia, what is the basic unit of life?",Molecule,Organ,The cell,Atom,C,MedlinePlus describes cells as the basic building blocks of living things
Fun & Pop Culture (Ongoing),7,FUN-97,3,"In astronomy trivia, which planet is known as the largest in our solar system?",Jupiter,Earth,Venus,Mars,A,"NASA describes Jupiter as the largest planet in our solar system; although we couldn't access the page, this fact is widely recognized and used here for fun trivia."
Fun & Pop Culture (Ongoing),8,FUN-98,1,"According to biology trivia, what is considered the powerhouse of the cell?",Nucleus,Golgi apparatus,Mitochondria,Ribosome,C,"In cell biology, the mitochondria are often described as the powerhouse of the cell because they produce energy; this is a common biology fact"
Fun & Pop Culture (Ongoing),8,FUN-98,2,"Which group of English rock musicians included John Lennon, Paul McCartney, George Harrison, and Ringo Starr?",The Rolling Stones,Pink Floyd,The Beatles,Queen,C,"The Beatles were a British rock band formed in Liverpool in 1960, featuring John Lennon, Paul McCartney, George Harrison and Ringo Starr; this is common pop culture knowledge"
